dt(cam)	frame	LO	AO
0.0000	0000	-1.8709	3.0142
0.0018	0001	-1.8709	3.0145
0.0131	0002	-1.8736	3.0156
0.0346	0003	-1.8736	3.0166
0.0354	0004	-1.8736	3.0166
0.0393	0005	-1.8736	3.0166
0.0412	0006	-1.8736	3.0166
0.0568	0007	-1.8736	3.0166
0.0572	0008	-1.8736	3.0166
0.0599	0009	-1.8736	3.0166
0.0636	0010	-1.8736	3.0166
0.0684	0011	-1.8736	3.0166
0.1114	0012	-1.8736	3.0167
0.1181	0013	-1.8736	3.0167
0.1204	0014	-1.8736	3.0167
0.1212	0015	-1.8736	3.0167
0.1221	0016	-1.8736	3.0167
0.1285	0017	-1.8736	3.0167
0.1727	0018	-1.8736	3.0167
0.1870	0019	-1.8736	3.0168
0.1952	0020	-1.8736	3.0167
0.2011	0021	-1.8708	3.0168
0.2048	0022	-1.8708	3.0168
0.2233	0023	-1.8708	3.0168
0.2246	0024	-1.8708	3.0168
0.2258	0025	-1.8708	3.0168
0.2262	0026	-1.8708	3.0168
0.2277	0027	-1.8708	3.0168
0.2363	0028	-1.8708	3.0168
0.2433	0029	-1.8708	3.0168
0.2470	0030	-1.8708	3.0168
0.2715	0031	-1.8708	3.0169
0.2722	0032	-1.8708	3.0169
0.2725	0033	-1.8708	3.0169
0.2768	0034	-1.8708	3.0169
0.2774	0035	-1.8708	3.0169
0.2829	0036	-1.8708	3.0169
0.2839	0037	-1.8708	3.0169
0.2841	0038	-1.8708	3.0169
0.2843	0039	-1.8708	3.0169
0.2850	0040	-1.8708	3.0169
0.2856	0041	-1.8708	3.0169
0.2860	0042	-1.8708	3.0169
0.2871	0043	-1.8708	3.0169
0.2882	0044	-1.8708	3.0169
0.2903	0045	-1.8708	3.0169
0.2913	0046	-1.8708	3.0169
0.2923	0047	-1.8708	3.0169
0.2928	0048	-1.8708	3.0169
0.2941	0049	-1.8708	3.0169
0.2975	0050	-1.8708	3.0169
0.2992	0051	-1.8708	3.0169
0.3003	0052	-1.8708	3.0169
0.3058	0053	-1.8708	3.0169
0.3121	0054	-1.8708	3.0169
0.3123	0055	-1.8708	3.0169
0.3129	0056	-1.8708	3.0169
0.3131	0057	-1.8708	3.0169
0.3132	0058	-1.8708	3.0169
0.3134	0059	-1.8708	3.0169
0.3137	0060	-1.8708	3.0169
0.3139	0061	-1.8708	3.0169
0.3141	0062	-1.8708	3.0169
0.3142	0063	-1.8708	3.0169
0.3346	0064	-1.8708	3.0169
0.4620	0065	-1.8708	3.0172
0.6297	0066	-1.8708	3.0174
0.8175	0067	-1.8708	3.0177
0.9679	0068	-1.8758	3.0179
1.1482	0069	-1.8758	3.0182
1.3083	0070	-1.8758	3.0184
1.4645	0071	-1.8758	3.0186
1.6281	0072	-1.8758	3.0188
1.8152	0073	-1.8758	3.0192
1.9594	0074	-1.8758	3.0194
2.1429	0075	-1.8745	3.0196
2.2962	0076	-1.8745	3.0200
2.4755	0077	-1.8745	3.0201
2.6271	0078	-1.8745	3.0201
2.7945	0079	-1.8745	3.0207
2.9860	0080	-1.8745	3.0209
3.1314	0081	-1.8791	3.0211
3.2930	0082	-1.8791	3.0213
3.4600	0083	-1.8791	3.0215
3.6275	0084	-1.8791	3.0219
3.7949	0085	-1.8791	3.0220
3.9786	0086	-1.8712	3.0223
4.1266	0087	-1.8712	3.0226
4.2935	0088	-1.8712	3.0229
4.4598	0089	-1.8712	3.0232
4.6411	0090	-1.8712	3.0235
4.8091	0091	-1.8712	3.0237
4.9607	0092	-1.8712	3.0239
5.1310	0093	-1.8701	3.0241
5.2927	0094	-1.8701	3.0244
5.4593	0095	-1.8701	3.0247
5.6285	0096	-1.8701	3.0250
5.7928	0097	-1.8701	3.0253
5.9593	0098	-1.8751	3.0255
6.1519	0099	-1.8751	3.0260
6.3125	0100	-1.8751	3.0263
6.4687	0101	-1.8751	3.0268
6.6253	0102	-1.8751	3.0273
6.7960	0103	-1.8751	3.0276
6.9597	0104	-1.8728	3.0280
7.1420	0105	-1.8728	3.0282
7.2939	0106	-1.8728	3.0282
7.4750	0107	-1.8728	3.0283
7.6286	0108	-1.8728	3.0283
7.7925	0109	-1.8728	3.0282
7.9651	0110	-1.8722	3.0280
8.1286	0111	-1.8722	3.0282
8.2930	0112	-1.8722	3.0283
8.4597	0113	-1.8722	3.0286
8.6260	0114	-1.8722	3.0289
8.7939	0115	-1.8722	3.0289
8.9589	0116	-1.8755	3.0286
9.0585	0117	-1.8755	3.0284
9.2126	0118	-1.8755	3.0282
9.4165	0119	-1.8755	3.0279
9.5866	0120	-1.8755	3.0276
9.7096	0121	-1.8755	3.0275
9.8769	0122	-1.8755	3.0273
10.0407	0123	-1.8876	3.0269
10.2159	0124	-1.8876	3.0267
10.3724	0125	-1.8876	3.0269
10.5411	0126	-1.8876	3.0265
10.7050	0127	-1.8876	3.0265
10.8674	0128	-1.8876	3.0264
11.0332	0129	-1.8755	3.0264
11.2030	0130	-1.8755	3.0266
11.3673	0131	-1.8755	3.0267
11.5699	0132	-1.8755	3.0268
11.6977	0133	-1.8755	3.0269
11.8608	0134	-1.8755	3.0268
12.0573	0135	-1.8769	3.0269
12.1938	0136	-1.8769	3.0269
12.4000	0137	-1.8769	3.0269
12.5234	0138	-1.8769	3.0269
12.6927	0139	-1.8769	3.0269
12.8553	0140	-1.8769	3.0272
13.0200	0141	-1.8769	3.0273
13.1965	0142	-1.8794	3.0273
13.3850	0143	-1.8794	3.0274
13.5168	0144	-1.8794	3.0270
13.7298	0145	-1.8794	3.0273
13.8475	0146	-1.8794	3.0264
14.0171	0147	-1.6821	3.0263
14.2148	0148	-1.6821	3.0234
14.3467	0149	-1.6821	3.0221
14.5553	0150	-1.6821	3.0197
14.7052	0151	-1.6821	3.0188
14.8412	0152	-1.6821	3.0175
15.0125	0153	-1.4476	3.0167
15.1734	0154	-1.4476	3.0160
15.3434	0155	-1.4476	3.0153
15.5068	0156	-1.4476	3.0151
15.6696	0157	-1.4476	3.0146
15.8470	0158	-1.4476	3.0138
16.0024	0159	-1.2185	3.0121
16.1678	0160	-1.2185	3.0111
16.3769	0161	-1.2185	3.0100
16.4987	0162	-1.2185	3.0087
16.6644	0163	-1.2185	3.0071
16.8326	0164	-1.2185	3.0061
17.0003	0165	-0.9553	3.0055
17.2076	0166	-0.9553	3.0042
17.3243	0167	-0.9553	3.0036
17.4953	0168	-0.9553	3.0029
17.6595	0169	-0.9553	3.0018
17.8230	0170	-0.9553	2.9998
18.0305	0171	-0.6343	2.9985
18.2049	0172	-0.6343	2.9991
18.3181	0173	-0.6343	3.0035
18.4859	0174	-0.6343	3.0104
18.6515	0175	-0.6343	3.0166
18.8461	0176	-0.6343	3.0195
18.9888	0177	-0.3600	3.0251
19.1989	0178	-0.3600	3.0413
19.3120	0179	-0.3600	3.0520
19.5195	0180	-0.3600	3.0638
19.6446	0181	-0.3600	3.0642
19.8109	0182	-0.3600	3.0635
