dt(cam)	frame	LO	AO
0.0000	0000	-1.3491	-3.1183
0.0031	0001	-1.3491	-3.1182
0.0042	0002	-1.3491	-3.1182
0.0052	0003	-1.3491	-3.1181
0.0083	0004	-1.3491	-3.1181
0.0091	0005	-1.3491	-3.1181
0.0156	0006	-1.3491	-3.1181
0.0171	0007	-1.3491	-3.1181
0.0731	0008	-1.3491	-3.1171
0.0839	0009	-1.3491	-3.1170
0.0852	0010	-1.3491	-3.1170
0.0873	0011	-1.3491	-3.1170
0.0918	0012	-1.3491	-3.1170
0.0926	0013	-1.3491	-3.1170
0.0953	0014	-1.3491	-3.1170
0.0972	0015	-1.3491	-3.1170
0.0985	0016	-1.3491	-3.1170
0.1050	0017	-1.3491	-3.1170
0.1146	0018	-1.3491	-3.1169
0.1155	0019	-1.3491	-3.1169
0.1200	0020	-1.3491	-3.1169
0.1250	0021	-1.3491	-3.1169
0.1283	0022	-1.3491	-3.1170
0.1324	0023	-1.3491	-3.1170
0.1389	0024	-1.3491	-3.1170
0.1744	0025	-1.3491	-3.1171
0.3133	0026	-1.3491	-3.1174
0.4760	0027	-1.3491	-3.1176
0.6398	0028	-1.3504	-3.1173
0.8058	0029	-1.3504	-3.1168
0.9699	0030	-1.3504	-3.1167
1.1894	0031	-1.3504	-3.1167
1.3053	0032	-1.3504	-3.1167
1.4698	0033	-1.3504	-3.1167
1.6368	0034	-1.3580	-3.1166
1.8145	0035	-1.3580	-3.1167
1.9773	0036	-1.3580	-3.1169
2.1677	0037	-1.3580	-3.1171
2.3020	0038	-1.3580	-3.1175
2.4702	0039	-1.3580	-3.1176
2.6356	0040	-1.3603	-3.1177
2.8054	0041	-1.3603	-3.1178
2.9693	0042	-1.3603	-3.1178
3.1376	0043	-1.3603	-3.1178
3.3214	0044	-1.3603	-3.1178
3.4698	0045	-1.3603	-3.1178
3.6368	0046	-1.3512	-3.1179
3.8028	0047	-1.3512	-3.1180
3.9687	0048	-1.3512	-3.1181
4.1564	0049	-1.3512	-3.1181
4.3021	0050	-1.3512	-3.1182
4.4732	0051	-1.3512	-3.1184
4.6367	0052	-1.3573	-3.1184
4.8053	0053	-1.3573	-3.1185
4.9700	0054	-1.3573	-3.1186
5.1370	0055	-1.3573	-3.1186
5.3232	0056	-1.3573	-3.1187
5.4690	0057	-1.3573	-3.1187
5.6355	0058	-1.3388	-3.1187
5.8124	0059	-1.3388	-3.1188
5.9709	0060	-1.3388	-3.1168
6.1379	0061	-1.3388	-3.1171
6.3033	0062	-1.3388	-3.1165
6.4701	0063	-1.3388	-3.1178
6.6360	0064	-1.0498	-3.1185
6.8063	0065	-1.0498	-3.1193
6.9706	0066	-1.0498	-3.1209
7.1387	0067	-1.0498	-3.1206
7.3190	0068	-1.0498	-3.1216
7.4908	0069	-1.0498	-3.1216
7.6370	0070	-1.0498	-3.1216
7.8031	0071	-1.0498	-3.1216
7.9709	0072	-1.0498	-3.1216
8.1547	0073	-1.0498	-3.1216
8.3193	0074	-1.0498	-3.1217
8.4700	0075	-1.0498	-3.1217
8.6604	0076	-1.0498	-3.1217
8.8056	0077	-1.0498	-3.1217
8.9703	0078	-0.7139	-3.1217
9.1399	0079	-0.7139	-3.1217
9.2254	0080	-0.7139	-3.1219
9.4160	0081	-0.7139	-3.1220
9.5621	0082	-0.7139	-3.1223
9.7805	0083	-0.7139	-3.1225
9.8871	0084	-0.7139	-3.1225
10.0934	0085	-0.7139	-3.1225
10.2222	0086	-0.7139	-3.1225
10.3846	0087	-0.7139	-3.1225
10.5519	0088	-0.7139	-3.1229
10.7394	0089	-0.7139	-3.1229
10.8800	0090	-0.7139	-3.1229
11.0482	0091	-0.7139	-3.1229
11.2370	0092	-0.7139	-3.1229
11.3770	0093	-0.7139	-3.1229
11.5890	0094	-0.3451	-3.1229
11.7581	0095	-0.3451	-3.1229
11.8728	0096	-0.3451	-3.1229
12.0783	0097	-0.3451	-3.1248
12.2050	0098	-0.3451	-3.1248
12.3712	0099	-0.3451	-3.1248
12.5449	0100	-0.0408	-3.1248
12.7513	0101	-0.0408	-3.1248
12.8686	0102	-0.0408	-3.1248
13.0343	0103	-0.0408	-3.1249
13.2113	0104	-0.0408	-3.1249
13.3686	0105	-0.0328	-3.1249
13.5755	0106	-0.0328	-3.1249
13.6936	0107	-0.0328	-3.1249
13.8643	0108	-0.0328	-3.1276
14.0464	0109	-0.0248	-3.1276
14.1908	0110	-0.0248	-3.1276
14.3608	0111	-0.0248	-3.1276
14.5714	0112	-0.0180	-3.1277
14.6874	0113	-0.0180	-3.1277
14.8571	0114	-0.0180	-3.1277
15.0204	0115	-0.0180	-3.1277
15.1882	0116	-0.0180	-3.1281
15.3554	0117	-0.0180	-3.1284
15.5155	0118	-0.0180	-3.1284
15.7230	0119	-0.0180	-3.1284
15.8514	0120	-0.0180	-3.1284
16.0256	0121	-0.0180	-3.1284
16.2121	0122	-0.0180	-3.1284
16.3474	0123	-0.0206	-3.1284
16.5263	0124	-0.0206	-3.1285
16.7220	0125	-0.0206	-3.1285
16.8410	0126	-0.0206	-3.1285
