dt(cam)	frame	LO	AO
0.0000	0000	3.0777	-1.5741
0.0010	0001	3.0756	-1.5754
0.0037	0002	3.0748	-1.5743
0.0052	0003	3.0748	-1.5743
0.0088	0004	3.0748	-1.5743
0.0098	0005	3.0748	-1.5743
0.0117	0006	3.0748	-1.5743
0.0165	0007	3.0748	-1.5743
0.0349	0008	3.0748	-1.5743
0.0381	0009	3.0748	-1.5743
0.0396	0010	3.0748	-1.5743
0.0405	0011	3.0748	-1.5743
0.0829	0012	3.0748	-1.5743
0.0832	0013	3.0748	-1.5743
0.0836	0014	3.0748	-1.5743
0.0846	0015	3.0748	-1.5743
0.0848	0016	3.0748	-1.5743
0.0851	0017	3.0748	-1.5743
0.0852	0018	3.0748	-1.5743
0.0856	0019	3.0748	-1.5743
0.0863	0020	3.0748	-1.5743
0.0873	0021	3.0748	-1.5743
0.0953	0022	3.0748	-1.5743
0.0969	0023	3.0748	-1.5743
0.1097	0024	3.0748	-1.5743
0.1304	0025	3.0748	-1.5743
0.1338	0026	3.0748	-1.5743
0.1360	0027	3.0748	-1.5743
0.1373	0028	3.0748	-1.5743
0.1379	0029	3.0748	-1.5743
0.1385	0030	3.0748	-1.5743
0.1390	0031	3.0748	-1.5743
0.1396	0032	3.0748	-1.5743
0.1401	0033	3.0748	-1.5743
0.1412	0034	3.0748	-1.5743
0.1473	0035	3.0748	-1.5743
0.1510	0036	3.0748	-1.5743
0.1580	0037	3.0748	-1.5743
0.1601	0038	3.0748	-1.5743
0.1610	0039	3.0748	-1.5743
0.1654	0040	3.0748	-1.5743
0.1759	0041	3.0748	-1.5743
0.1762	0042	3.0748	-1.5743
0.1778	0043	3.0748	-1.5743
0.1807	0044	3.0748	-1.5743
0.1829	0045	3.0748	-1.5743
0.1836	0046	3.0748	-1.5743
0.2448	0047	3.0748	-1.5743
0.4124	0048	3.0754	-1.5739
0.5847	0049	3.0754	-1.5739
0.7531	0050	3.0754	-1.5739
0.9087	0051	3.0754	-1.5739
1.0790	0052	3.0754	-1.5739
1.2326	0053	3.0758	-1.5740
1.4122	0054	3.0758	-1.5740
1.5992	0055	3.0758	-1.5740
1.7329	0056	3.0758	-1.5740
1.9246	0057	3.0758	-1.5740
2.1020	0058	2.8863	-1.5721
2.2540	0059	2.8863	-1.5721
2.4264	0060	2.8863	-1.5721
2.5807	0061	2.8863	-1.5721
2.7314	0062	2.8863	-1.5721
2.8928	0063	2.8863	-1.5721
3.0994	0064	2.7658	-1.5741
3.2238	0065	2.7658	-1.5741
3.4355	0066	2.7658	-1.5741
3.5559	0067	2.7658	-1.5741
3.7294	0068	2.7658	-1.5741
3.8908	0069	2.7658	-1.5741
4.0951	0070	2.5815	-1.5717
4.2234	0071	2.5815	-1.5717
4.4325	0072	2.5815	-1.5717
4.5585	0073	2.5815	-1.5717
4.7224	0074	2.5815	-1.5717
4.8924	0075	2.5815	-1.5717
5.0634	0076	2.2346	-1.5756
5.2334	0077	2.2346	-1.5756
5.4240	0078	2.2346	-1.5756
5.5601	0079	2.2346	-1.5756
5.7262	0080	2.2346	-1.5756
5.9270	0081	2.2346	-1.5756
6.0720	0082	1.8963	-1.5860
6.2518	0083	1.8963	-1.5860
6.3904	0084	1.8963	-1.5860
6.5565	0085	1.8963	-1.5860
6.7397	0086	1.8963	-1.5860
6.8911	0087	1.8963	-1.5860
7.0841	0088	1.8963	-1.5860
7.2243	0089	1.5924	-1.5809
7.3903	0090	1.5924	-1.5809
7.5587	0091	1.5924	-1.5809
7.7232	0092	1.5924	-1.5809
7.8883	0093	1.5924	-1.5809
8.0581	0094	1.2798	-1.5858
8.2242	0095	1.2798	-1.5858
8.3893	0096	1.2798	-1.5858
8.5549	0097	1.2798	-1.5858
8.7217	0098	1.2798	-1.5858
8.9073	0099	1.2798	-1.5858
9.0577	0100	0.9909	-1.5856
9.2230	0101	0.9909	-1.5856
9.3900	0102	0.9909	-1.5856
9.5552	0103	0.9909	-1.5856
9.7246	0104	0.9909	-1.5856
9.8898	0105	0.9909	-1.5856
10.0612	0106	0.9909	-1.5856
10.2295	0107	0.6718	-1.5906
10.4058	0108	0.6718	-1.5906
10.5562	0109	0.6718	-1.5906
10.7258	0110	0.6718	-1.5906
10.9211	0111	0.6718	-1.5906
11.0733	0112	0.6718	-1.5906
11.2232	0113	0.3420	-1.6358
11.3937	0114	0.3420	-1.6358
11.5561	0115	0.3420	-1.6358
11.7264	0116	0.3420	-1.6358
11.8931	0117	0.3420	-1.6358
12.0768	0118	0.0325	0.5927
12.2524	0119	0.0325	0.5927
12.3890	0120	0.0325	0.5927
12.5561	0121	0.0325	0.5927
12.7354	0122	0.0325	0.5927
12.8892	0123	0.0325	0.5927
13.0630	0124	0.0219	-0.0331
13.2219	0125	0.0219	-0.0331
13.3881	0126	0.0219	-0.0331
13.5767	0127	0.0219	-0.0331
13.7207	0128	0.0219	-0.0331
13.8894	0129	0.0219	-0.0331
14.0572	0130	0.0332	-0.0331
14.2421	0131	0.0332	-0.0331
14.4016	0132	0.0332	-0.0331
14.5715	0133	0.0332	-0.0331
14.6609	0134	0.0332	-0.0331
14.8601	0135	0.0332	-0.0331
14.9839	0136	0.0332	-0.0331
15.1416	0137	0.0568	-0.0331
15.3219	0138	0.0568	-0.0331
15.4716	0139	0.0568	-0.0331
15.6385	0140	0.0568	-0.0331
15.8045	0141	0.0568	-0.0331
15.9677	0142	0.0568	-0.0331
16.1353	0143	0.0658	0.0849
16.2999	0144	0.0658	0.0849
16.4639	0145	0.0658	0.0849
16.6367	0146	0.0658	0.0849
16.8339	0147	0.0658	0.0849
16.9586	0148	0.0658	0.0849
17.1247	0149	0.0451	0.0849
17.2930	0150	0.0451	0.0849
17.4745	0151	0.0451	0.0849
17.6242	0152	0.0451	0.0849
17.8267	0153	0.0451	0.0849
17.9542	0154	0.0451	0.0849
18.1171	0155	0.0102	0.0849
18.2934	0156	0.0102	0.0849
18.4617	0157	0.0102	0.0849
18.6169	0158	0.0102	0.0849
18.7850	0159	0.0102	0.0849
18.9454	0160	0.0102	0.0849
19.1103	0161	0.0178	0.0849
19.2804	0162	0.0178	0.0849
19.4712	0163	0.0178	0.0849
19.6517	0164	0.0178	0.0849
19.7723	0165	0.0178	0.0849
19.9656	0166	0.0178	0.0849
20.1067	0167	0.0175	-0.0477
