dt(cam)	frame	LO	AO
0.0000	0000	-0.0178	0.0000
0.0278	0001	-0.0178	0.0000
0.0380	0002	-0.0178	0.0000
0.0488	0003	-0.0178	0.0000
0.0612	0004	-0.0178	0.0000
0.0689	0005	-0.0178	0.0000
0.1918	0006	-0.0178	0.0000
0.3483	0007	-0.0178	0.0000
0.5272	0008	-0.0174	0.0000
0.7275	0009	-0.0174	0.0000
0.8809	0010	-0.0174	0.0000
1.0130	0011	-0.0174	0.0000
1.1787	0012	-0.0174	0.0000
1.3441	0013	-0.0174	0.0000
1.5241	0014	-0.0146	0.0000
1.6731	0015	-0.0146	0.0000
1.8418	0016	-0.0146	0.0000
2.0433	0017	-0.0146	0.0000
2.1714	0018	-0.0146	0.0000
2.3408	0019	-0.0146	0.0000
2.5508	0020	-0.0146	0.0000
2.6672	0021	-0.0146	0.0000
2.8351	0022	-0.0146	0.0000
2.9969	0023	-0.0146	-2.2514
3.1679	0024	-0.0146	-2.4077
3.3336	0025	-0.0146	-2.4077
3.5026	0026	-0.0204	2.3971
3.6626	0027	-0.0204	2.3971
3.8268	0028	-0.0204	2.3971
4.0308	0029	-0.0204	2.3971
4.1603	0030	-0.0204	2.3971
4.3231	0031	-0.0204	2.3971
4.4896	0032	-0.0188	1.9203
4.7062	0033	-0.0188	1.9203
4.8198	0034	-0.0188	1.9203
4.9863	0035	-0.0188	1.9203
5.1512	0036	-0.0188	1.9203
5.3176	0037	-0.0188	1.9203
5.4982	0038	-0.0138	-3.0929
5.6585	0039	-0.0138	-3.0929
5.8520	0040	-0.0138	-3.0929
5.9928	0041	-0.0138	-3.0929
6.1477	0042	-0.0138	-3.0929
6.3155	0043	-0.0138	-3.0929
6.4768	0044	-0.0138	-3.0760
6.6851	0045	-0.0122	-2.9416
6.8066	0046	-0.0122	-2.9416
7.0124	0047	-0.0122	-2.9416
7.1403	0048	-0.0122	-2.9416
7.3386	0049	-0.0122	-2.9416
7.4694	0050	-0.0122	-2.9416
7.6400	0051	-0.0128	-2.5423
7.8451	0052	-0.0128	-2.5423
7.9657	0053	-0.0128	-2.5423
8.1357	0054	-0.0128	-2.5423
8.3019	0055	-0.0128	-2.5423
8.4667	0056	-0.0128	-2.5423
8.6322	0057	-0.0159	-2.8736
8.8319	0058	-0.0159	-2.8736
8.9585	0059	-0.0159	-2.8736
9.1477	0060	-0.0159	-2.8736
9.2921	0061	-0.0159	-2.8736
9.4599	0062	-0.0159	-2.8736
9.6231	0063	-0.0136	-0.0502
9.7870	0064	-0.0136	-0.0502
9.9518	0065	-0.0136	-0.0502
10.1218	0066	-0.0136	-0.0502
10.2869	0067	-0.0136	-0.0502
10.4494	0068	-0.0136	-0.0502
10.6187	0069	-0.0111	-0.5024
10.7835	0070	-0.0111	-0.2708
10.9484	0071	-0.0111	-0.2708
11.1592	0072	-0.0111	-0.2708
11.2772	0073	-0.0111	-0.2708
11.4448	0074	-0.0111	-0.2708
11.6085	0075	-0.0203	0.0398
11.7785	0076	-0.0203	0.0374
11.9404	0077	-0.0203	0.0374
12.1104	0078	-0.0203	0.0374
12.2722	0079	-0.0203	0.0374
12.4858	0080	-0.0203	0.0374
12.6060	0081	-0.0203	0.0374
12.8004	0082	-0.0203	0.0218
12.9400	0083	-0.0203	0.0218
13.1081	0084	-0.0203	0.0218
13.2745	0085	-0.0303	0.0221
13.4372	0086	-0.0303	0.0221
13.6409	0087	-0.0017	0.0710
