dt(cam)	frame	LO	AO
0.0000	0000	0.0561	0.0000
0.1644	0001	0.0561	0.0000
0.3424	0002	0.0561	0.0000
0.4961	0003	0.0561	0.0000
0.6652	0004	0.0464	0.0000
0.8329	0005	0.0464	0.0000
0.9986	0006	0.0464	0.0000
1.1640	0007	0.0464	0.0000
1.3570	0008	0.0464	0.0000
1.4986	0009	0.0045	0.0000
1.6656	0010	0.0045	0.0000
1.8329	0011	0.0045	0.8185
2.0002	0012	0.0045	0.8185
2.1637	0013	0.0045	0.8185
2.3329	0014	0.0045	0.8185
2.4963	0015	0.0045	0.8185
2.6630	0016	0.0018	0.1076
2.8308	0017	0.0018	0.1076
2.9980	0018	0.0018	0.1076
3.1654	0019	0.0018	0.1076
3.3302	0020	0.0018	0.1076
3.4964	0021	0.0018	0.1076
3.6768	0022	0.0023	0.1105
3.8330	0023	0.0023	0.1105
4.0219	0024	0.0023	0.1105
4.1656	0025	0.0023	0.1105
4.3355	0026	0.0023	0.1105
4.4970	0027	0.0023	0.1105
4.6836	0028	0.0522	0.1058
4.8296	0029	0.0522	0.1058
4.9984	0030	0.0522	0.1058
5.1649	0031	0.0522	0.1058
5.3295	0032	0.0522	0.1058
5.4975	0033	0.0522	0.1058
5.6639	0034	0.0775	0.0481
5.8338	0035	0.0775	0.0481
6.0018	0036	0.0775	0.0481
6.1634	0037	0.0775	0.0481
6.3462	0038	0.0775	0.0481
6.4962	0039	0.0775	0.0481
6.6639	0040	0.1177	0.0536
6.8597	0041	0.1177	0.0536
7.0001	0042	0.1177	0.0536
7.1642	0043	0.1177	0.0536
7.3318	0044	0.1177	0.0536
7.4984	0045	0.1220	0.0048
7.6671	0046	0.1220	0.0048
7.8335	0047	0.1220	0.0048
8.0010	0048	0.1220	0.0048
8.1676	0049	0.1220	0.0048
8.3475	0050	0.1220	0.0048
8.5014	0051	0.0718	-0.0806
8.6634	0052	0.0718	-0.0806
8.8334	0053	0.0718	-0.0806
8.9988	0054	0.0718	-0.0806
9.1305	0055	0.0718	-0.0806
9.2504	0056	0.0718	-0.0806
9.4183	0057	0.0718	-0.0806
9.5853	0058	0.0032	-0.2988
9.7497	0059	0.0032	-0.2988
9.9556	0060	0.0032	-0.2988
10.0822	0061	0.0032	-0.2988
10.2962	0062	0.0032	-0.2988
10.4107	0063	0.0032	-0.2988
10.5750	0064	0.0079	-0.3130
10.7428	0065	0.0079	-0.3130
10.9118	0066	0.0079	-0.3130
11.0732	0067	0.0079	-0.3130
11.2373	0068	0.0079	-0.3130
11.4051	0069	0.0079	-0.3130
11.5697	0070	0.0555	-0.2823
11.7689	0071	0.0555	-0.2823
11.9012	0072	0.0555	-0.2823
12.1100	0073	0.0555	-0.2823
12.2315	0074	0.0555	-0.2823
12.4020	0075	0.0555	-0.2823
12.6119	0076	0.0442	-0.2088
12.7268	0077	0.0442	-0.2088
12.8987	0078	0.0442	-0.2088
13.0656	0079	0.0442	-0.2088
13.2250	0080	0.0442	-0.2088
13.4460	0081	0.0442	-0.2088
13.5559	0082	0.0488	-0.1169
13.7337	0083	0.0488	-0.1169
13.8854	0084	0.0488	-0.1169
14.0537	0085	0.0488	-0.1169
14.2174	0086	0.0488	-0.1169
14.4431	0087	0.0488	-0.1169
14.5506	0088	0.0488	-0.1169
14.7176	0089	0.0082	0.0516
14.8790	0090	0.0082	0.0516
15.0489	0091	0.0082	0.0516
15.2107	0092	0.0082	0.0516
15.3823	0093	0.0082	0.0516
15.5431	0094	0.0094	0.0325
15.7464	0095	0.0094	0.0325
15.8739	0096	0.0094	0.0325
16.0404	0097	0.0094	0.0325
16.2047	0098	0.0492	0.0842
16.4168	0099	0.0492	0.0842
16.5354	0100	0.0492	0.0842
16.7034	0101	0.0492	0.0842
16.8696	0102	0.0492	0.0842
17.0494	0103	0.0492	0.0842
17.2024	0104	0.0492	0.0842
17.4072	0105	0.0492	0.0842
17.5480	0106	0.0588	0.0262
17.6947	0107	0.0588	0.0262
17.8630	0108	0.0588	0.0262
18.0281	0109	0.0588	0.0262
18.1966	0110	0.0588	0.0262
18.3611	0111	0.0588	0.0262
18.5248	0112	0.0959	0.0120
18.6886	0113	0.0959	0.0120
18.8546	0114	0.0959	0.0120
19.0222	0115	0.0959	0.0120
19.2228	0116	0.0959	0.0120
19.3542	0117	0.0959	0.0120
19.5175	0118	0.1028	-0.0010
19.6811	0119	0.1028	-0.0010
19.8479	0120	0.1028	-0.0010
20.0134	0121	0.1028	-0.0010
20.1939	0122	0.1028	-0.0010
20.3913	0123	0.1028	-0.0010
20.5455	0124	0.0778	0.0121
20.6747	0125	0.0778	0.0121
20.8427	0126	0.0778	0.0121
21.0119	0127	0.0778	0.0121
21.1733	0128	0.0778	0.0121
21.3642	0129	0.0778	0.0121
21.5040	0130	0.0544	-0.0096
21.6681	0131	0.0544	-0.0096
21.8364	0132	0.0544	-0.0096
22.0034	0133	0.0544	-0.0096
22.1684	0134	0.0544	-0.0096
22.3763	0135	0.0544	-0.0096
22.4991	0136	0.0327	-0.0042
22.6651	0137	0.0327	-0.0042
22.8302	0138	0.0327	-0.0042
23.0003	0139	0.0327	-0.0042
23.1659	0140	0.0327	-0.0042
23.3307	0141	0.0327	-0.0042
