dt(GPS)	frame	 LO(m)	 AO(rad)
0.0000	0	3.1355	-0.0764
0.0000	3	3.1355	-0.0764
0.0000	5	3.1355	-0.0764
0.0000	7	3.1355	-0.0764
0.0000	8	3.1355	-0.0764
0.0000	10	3.1353	-0.0764
0.0000	12	3.1352	-0.0764
0.0000	14	3.1352	-0.0764
0.0000	17	3.1352	-0.0764
0.0000	19	3.1352	-0.0764
0.0000	22	3.1352	-0.0764
0.0000	24	3.1352	-0.0764
0.0000	25	3.1352	-0.0764
0.0000	27	3.1352	-0.0764
0.0000	30	3.1352	-0.0764
0.0000	32	3.1352	-0.0764
0.0000	33	3.1352	-0.0764
0.0000	35	3.1352	-0.0764
0.0000	38	3.1352	-0.0764
0.0000	40	3.1352	-0.0764
0.0000	43	3.1352	-0.0764
0.0000	45	3.1352	-0.0764
0.0000	47	3.1353	-0.0763
0.0000	48	3.1352	-0.0763
0.9998	49	3.1358	-0.0762
0.9998	50	3.1358	-0.0763
0.9998	51	3.1359	-0.0762
0.9998	52	3.1360	-0.0763
0.9998	53	3.1359	-0.0762
0.9998	54	3.1360	-0.0762
1.9999	55	3.1364	-0.0762
1.9999	56	3.1364	-0.0762
1.9999	57	3.1418	-0.0761
1.9999	58	3.1418	-0.0761
1.9999	59	3.1350	-0.0766
1.9999	60	3.1336	-0.0789
2.9999	61	2.9444	-0.0786
2.9999	62	2.9434	-0.0793
2.9999	63	2.9429	-0.0798
2.9999	64	2.9394	-0.0818
2.9999	65	2.9387	-0.0827
2.9999	66	2.9398	-0.0828
2.9999	67	2.9398	-0.0835
4.0001	68	2.8215	-0.0834
4.0001	69	2.8221	-0.0848
4.0001	70	2.8217	-0.0852
4.0001	71	2.8217	-0.0852
4.0001	72	2.8141	-0.0864
4.9997	73	2.6270	-0.0869
4.9997	74	2.6220	-0.0873
4.9997	75	2.6181	-0.0875
4.9997	76	2.6171	-0.0867
4.9997	77	2.6172	-0.0869
4.9997	78	2.6112	-0.0936
5.9998	79	2.2571	-0.1017
5.9998	80	2.2444	-0.1193
5.9998	81	2.2383	-0.1311
5.9998	82	2.2365	-0.1337
5.9998	83	2.2366	-0.1347
5.9998	84	2.2363	-0.1348
6.9999	85	1.8957	-0.1366
6.9999	86	1.8953	-0.1381
6.9999	87	1.8969	-0.1387
6.9999	88	1.8967	-0.1403
6.9999	89	1.8958	-0.1414
6.9999	90	1.8957	-0.1415
7.9997	91	1.5808	-0.1287
7.9997	92	1.5814	-0.1277
7.9997	93	1.5797	-0.1273
7.9997	94	1.5804	-0.1262
7.9997	95	1.5793	-0.1272
7.9997	96	1.5783	-0.1270
7.9997	97	1.5777	-0.1273
8.9996	98	1.2658	-0.1279
8.9996	99	1.2712	-0.1222
8.9996	100	1.2730	-0.1210
8.9996	101	1.2745	-0.1203
8.9996	102	1.2739	-0.1220
9.9996	103	0.9890	-0.1182
9.9996	104	0.9902	-0.1184
9.9996	105	0.9906	-0.1190
9.9996	106	0.9907	-0.1193
9.9996	107	0.9874	-0.1223
9.9996	108	0.9846	-0.1245
9.9996	109	0.9832	-0.1255
10.9998	110	0.6622	-0.1278
10.9998	111	0.6604	-0.1296
10.9998	112	0.6605	-0.1308
10.9998	113	0.6605	-0.1316
10.9998	114	0.6600	-0.1319
11.9997	115	0.3336	-0.1291
11.9997	116	0.3366	-0.1281
11.9997	117	0.3391	-0.1236
11.9997	118	0.3367	-0.1245
11.9997	119	0.3358	-0.1245
11.9997	120	0.3357	-0.1253
12.9997	121	0.0324	-0.1241
12.9997	122	0.0338	-0.1254
12.9997	123	0.0370	-0.1126
12.9997	124	0.0409	-0.1042
12.9997	125	0.0433	-0.0982
12.9997	126	0.0453	-0.0983
13.9998	127	0.0290	-0.0988
13.9998	128	0.0287	-0.0997
13.9998	129	0.0299	-0.1017
13.9998	130	0.0342	-0.1051
13.9998	131	0.0347	-0.1060
13.9998	132	0.0332	-0.1065
15.0000	133	0.0452	-0.1089
15.0000	134	0.0451	-0.1100
15.0000	135	0.0438	-0.1117
15.0000	136	0.0433	-0.1117
15.0000	137	0.0430	-0.1116
15.0000	138	0.0422	-0.1133
15.0000	139	0.0408	-0.1139
15.9998	140	0.0653	-0.1158
15.9998	141	0.0684	-0.1172
15.9998	142	0.0710	-0.1183
15.9998	143	0.0700	-0.1196
15.9998	144	0.0677	-0.1202
15.9998	145	0.0672	-0.1218
16.9998	146	0.0737	-0.1237
16.9998	147	0.0735	-0.1238
16.9998	148	0.0726	-0.1240
16.9998	149	0.0706	-0.1239
16.9998	150	0.0685	-0.1235
16.9998	151	0.0687	-0.1271
18.0002	152	0.0518	-0.1251
18.0002	153	0.0522	-0.1140
18.0002	154	0.0523	-0.1095
18.0002	155	0.0510	-0.1014
18.0002	156	0.0502	-0.1017
18.0002	157	0.0499	-0.1011
19.0000	158	0.0142	-0.1005
19.0000	159	0.0139	-0.1019
