dt(cam)	frame	LO	AO
0.0000	0000	-0.0419	0.0000
0.1656	0001	-0.0419	0.0000
0.3344	0002	-0.0419	0.0000
0.5014	0003	-0.0455	0.0000
0.6769	0004	-0.0455	0.0000
0.8589	0005	-0.0455	0.0000
0.9995	0006	-0.0455	0.0000
1.1665	0007	-0.0455	0.0000
1.3352	0008	-0.0455	0.0000
1.5014	0009	-0.1390	0.0000
1.6676	0010	-0.1390	0.0000
1.8359	0011	-0.1390	-0.9330
2.0010	0012	-0.1390	-0.9330
2.0924	0013	-0.1390	-0.9330
2.2566	0014	-0.1390	-0.9330
2.4250	0015	0.4526	-0.9280
2.5992	0016	0.4526	-0.9280
2.7931	0017	0.4526	-0.9280
2.9169	0018	0.4526	-0.9280
3.0821	0019	0.4526	-0.9280
3.2791	0020	0.4526	-0.9280
3.4613	0021	0.2618	-0.9306
3.5776	0022	0.2618	-0.9306
3.7434	0023	0.2618	-0.9306
3.9083	0024	0.2618	-0.9306
4.0759	0025	0.2618	-0.9306
4.2405	0026	0.2618	-0.9306
4.4126	0027	0.0042	-0.9368
4.5710	0028	0.0042	-0.9368
4.7432	0029	0.0042	-0.9368
4.9364	0030	0.0042	-0.9368
5.0672	0031	0.0042	-0.9368
5.2383	0032	0.0042	-0.9368
5.4486	0033	0.0054	-0.9285
5.5641	0034	0.0054	-0.9285
5.7276	0035	0.0054	-0.9285
5.8936	0036	0.0054	-0.9285
6.0605	0037	0.0054	-0.9285
6.2260	0038	0.0054	-0.9285
6.4018	0039	0.0054	-0.9285
6.5558	0040	0.0191	-0.9184
6.7526	0041	0.0191	-0.9184
6.8862	0042	0.0191	-0.9184
7.0552	0043	0.0191	-0.9184
7.2606	0044	0.0191	-0.9184
7.4283	0045	0.0285	-0.9125
7.5511	0046	0.0285	-0.9125
7.7178	0047	0.0285	-0.9125
7.8804	0048	0.0285	-0.9125
8.0480	0049	0.0285	-0.9125
8.2163	0050	0.0285	-0.9125
8.4251	0051	0.0254	-0.9175
8.5800	0052	0.0254	-0.9175
8.7072	0053	0.0254	-0.9175
8.8807	0054	0.0254	-0.9175
9.0455	0055	0.0254	-0.9175
9.2032	0056	0.0254	-0.9175
9.4046	0057	0.0254	-0.9175
9.5336	0058	0.0266	-0.9461
9.6995	0059	0.0266	-0.9461
9.8692	0060	0.0266	-0.9461
10.0754	0061	0.0266	-0.9461
10.1964	0062	0.0266	-0.9461
10.3623	0063	0.0266	-0.9461
10.5261	0064	0.0253	-0.9391
10.6929	0065	0.0253	-0.9391
10.8641	0066	0.0253	-0.9391
11.0681	0067	0.0253	-0.9391
11.1878	0068	0.0253	-0.9391
11.3586	0069	0.0253	-0.9391
11.5228	0070	0.0239	-0.9352
11.6846	0071	0.0239	-0.9352
11.8517	0072	0.0239	-0.9352
12.0167	0073	0.0239	-0.9352
12.1889	0074	0.0239	-0.9352
12.3484	0075	0.0239	-0.9352
12.5143	0076	0.0280	-0.9318
12.6794	0077	0.0280	-0.9318
12.8709	0078	0.0280	-0.9318
13.0636	0079	0.0280	-0.9318
13.1781	0080	0.0280	-0.9318
13.3428	0081	0.0280	-0.9318
13.5066	0082	0.0355	-0.9243
13.6996	0083	0.0355	-0.9243
13.8425	0084	0.0355	-0.9243
14.0293	0085	0.0355	-0.9243
14.2179	0086	0.0355	-0.9243
14.3806	0087	0.0355	-0.9243
14.4988	0088	0.0514	-0.9174
14.7043	0089	0.0514	-0.9174
14.8311	0090	0.0514	-0.9174
15.0388	0091	0.0514	-0.9174
15.1602	0092	0.0514	-0.9174
15.3283	0093	0.0514	-0.9174
15.4948	0094	0.0514	-0.9174
15.6714	0095	0.0514	-0.9174
15.8339	0096	0.0514	-0.9174
15.9911	0097	0.0514	-0.9174
16.1594	0098	0.0338	-0.9578
16.3332	0099	0.0338	-0.9578
16.4916	0100	0.0293	-0.9542
16.6617	0101	0.0293	-0.9542
16.8247	0102	0.0293	-0.9542
16.9924	0103	0.0293	-0.9542
17.1878	0104	0.0293	-0.9542
17.3238	0105	0.0293	-0.9542
17.4905	0106	0.0275	-0.9437
17.6821	0107	0.0275	-0.9437
17.8266	0108	0.0275	-0.9437
18.0274	0109	0.0275	-0.9437
18.1602	0110	0.0275	-0.9437
18.3256	0111	0.0275	-0.9437
18.4899	0112	0.0306	-0.9421
18.6580	0113	0.0306	-0.9421
18.8244	0114	0.0306	-0.9421
18.9920	0115	0.0306	-0.9421
19.1596	0116	0.0306	-0.9421
19.3265	0117	0.0306	-0.9421
19.4911	0118	0.0335	-0.9394
19.6564	0119	0.0335	-0.9394
19.8276	0120	0.0335	-0.9394
19.9908	0121	0.0335	-0.9394
20.1565	0122	0.0335	-0.9394
20.3230	0123	0.0335	-0.9394
20.4897	0124	0.0403	-0.9308
20.6579	0125	0.0403	-0.9308
20.8254	0126	0.0403	-0.9308
20.9894	0127	0.0403	-0.9308
21.1565	0128	0.0403	-0.9308
21.3270	0129	0.0403	-0.9308
21.4904	0130	0.0387	-0.9226
21.6569	0131	0.0387	-0.9226
21.8297	0132	0.0387	-0.9226
21.9909	0133	0.0387	-0.9226
22.1745	0134	0.0387	-0.9226
22.3282	0135	0.0387	-0.9226
22.4920	0136	0.0523	-0.9528
22.6582	0137	0.0523	-0.9528
22.8254	0138	0.0523	-0.9528
23.0168	0139	0.0523	-0.9528
23.1747	0140	0.0523	-0.9528
23.3244	0141	0.0523	-0.9528
23.4924	0142	0.0634	-0.9500
23.6568	0143	0.0634	-0.9500
23.8225	0144	0.0634	-0.9500
23.9907	0145	0.0634	-0.9500
24.1759	0146	0.0634	-0.9500
24.3230	0147	0.0634	-0.9500
24.4886	0148	0.0691	-0.9452
24.6594	0149	0.0691	-0.9452
24.8462	0150	0.0691	-0.9452
24.9897	0151	0.0691	-0.9452
25.1798	0152	0.0691	-0.9452
25.3256	0153	0.0691	-0.9452
25.4964	0154	0.0767	-0.9403
25.6551	0155	0.0767	-0.9403
25.8233	0156	0.0767	-0.9403
25.9953	0157	0.0767	-0.9403
26.1712	0158	0.0767	-0.9403
26.3229	0159	0.0767	-0.9403
26.4918	0160	0.0767	-0.9403
26.6612	0161	0.0758	-0.9345
26.8228	0162	0.0758	-0.9345
27.0123	0163	0.0758	-0.9345
27.1550	0164	0.0758	-0.9345
27.3429	0165	0.0758	-0.9345
27.4280	0166	0.0758	-0.9345
27.6241	0167	0.0667	-0.9370
27.7415	0168	0.0667	-0.9370
27.9071	0169	0.0667	-0.9370
28.1042	0170	0.0667	-0.9370
28.2420	0171	0.0667	-0.9370
28.4591	0172	0.0667	-0.9370
28.6129	0173	0.0674	-0.9526
28.7330	0174	0.0674	-0.9526
28.8988	0175	0.0674	-0.9526
29.1027	0176	0.0674	-0.9526
29.2645	0177	0.0674	-0.9526
29.4172	0178	0.0674	-0.9526
29.5693	0179	0.0616	-0.9456
29.7291	0180	0.0616	-0.9456
29.8918	0181	0.0616	-0.9456
30.0585	0182	0.0616	-0.9456
30.2406	0183	0.0616	-0.9456
30.3906	0184	0.0616	-0.9456
30.5587	0185	0.0446	-0.9362
30.7198	0186	0.0446	-0.9362
30.8892	0187	0.0446	-0.9362
31.0554	0188	0.0446	-0.9362
31.2214	0189	0.0446	-0.9362
31.4018	0190	0.0446	-0.9362
31.5927	0191	0.0446	-0.9362
31.7151	0192	0.0446	-0.9362
31.8797	0193	0.0446	-0.9362
32.0662	0194	0.0446	-0.9362
32.2533	0195	0.0446	-0.9362
32.4213	0196	0.0301	-0.9576
32.5417	0197	0.0301	-0.9576
32.7090	0198	0.0301	-0.9576
32.8726	0199	0.0301	-0.9576
33.0777	0200	0.0301	-0.9576
33.2565	0201	0.0301	-0.9576
33.3692	0202	0.0301	-0.9576
33.5359	0203	0.0291	-0.9529
33.7013	0204	0.0291	-0.9529
33.9020	0205	0.0291	-0.9529
34.0839	0206	0.0291	-0.9529
