dt(cam)	frame	LO	AO
0.0000	0000	2.0726	0.7852
0.0024	0001	2.0726	0.7886
0.0103	0002	2.0726	0.7886
0.0424	0003	2.0726	0.7890
0.1095	0004	2.0726	0.7895
0.2700	0005	2.0726	0.7908
0.4461	0006	2.0726	0.7920
0.6055	0007	2.0742	0.7928
0.8156	0008	2.0742	0.7943
0.9306	0009	2.0742	0.7952
1.0959	0010	2.0742	0.7959
1.2631	0011	2.0742	0.7969
1.4337	0012	2.0742	0.7973
1.6501	0013	2.0765	0.7979
1.7618	0014	2.0765	0.7980
1.9269	0015	2.0765	0.7981
2.0894	0016	2.0765	0.7982
2.2601	0017	2.0765	0.7990
2.4556	0018	2.0765	0.7994
2.6349	0019	2.0695	0.7996
2.7519	0020	2.0695	0.7998
2.9186	0021	2.0695	0.8003
3.0864	0022	2.0695	0.8002
3.2488	0023	2.0695	0.8004
3.4174	0024	2.0695	0.7999
3.6278	0025	2.0775	0.8007
3.7471	0026	2.0775	0.8010
3.9118	0027	2.0775	0.8013
4.0780	0028	2.0775	0.8021
4.2486	0029	2.0775	0.8020
4.4109	0030	2.0775	0.8023
4.5760	0031	2.0770	0.8022
4.7392	0032	2.0770	0.8023
4.9229	0033	2.0770	0.8023
5.0713	0034	2.0770	0.8025
5.2387	0035	2.0770	0.8031
5.4107	0036	2.0770	0.8031
5.6105	0037	2.0750	0.8034
5.7355	0038	2.0750	0.8039
5.9006	0039	2.0750	0.8044
6.0664	0040	2.0750	0.8046
6.2430	0041	2.0750	0.8049
6.3986	0042	2.0750	0.8054
6.6127	0043	2.0747	0.8058
6.7283	0044	2.0747	0.8063
6.8945	0045	2.0747	0.8067
7.0967	0046	2.0747	0.8070
7.2266	0047	2.0747	0.8074
7.3961	0048	2.0747	0.8072
7.5552	0049	2.0742	0.8074
7.7215	0050	2.0742	0.8075
7.8860	0051	2.0742	0.8079
8.0550	0052	2.0742	0.8078
8.2323	0053	2.0742	0.8079
8.3838	0054	2.0742	0.8081
8.5507	0055	2.0786	0.8078
8.7135	0056	2.0786	0.8080
8.8812	0057	2.0786	0.8079
9.0463	0058	2.0786	0.8078
9.2144	0059	2.0786	0.8072
9.4252	0060	2.0786	0.8074
9.5402	0061	2.0745	0.8078
9.7297	0062	2.0745	0.8075
9.8745	0063	2.0745	0.8076
10.0442	0064	2.0745	0.8075
10.2065	0065	2.0745	0.8073
10.3723	0066	2.0745	0.8073
10.5347	0067	2.0781	0.8072
10.7068	0068	2.0781	0.8069
10.8697	0069	2.0781	0.8067
11.0376	0070	2.0781	0.8065
11.2287	0071	2.0781	0.8064
11.3617	0072	2.0781	0.8062
11.5680	0073	2.0769	0.8059
11.6967	0074	2.0769	0.8053
11.8639	0075	2.0769	0.8048
12.0308	0076	2.0769	0.8041
12.2031	0077	2.0769	0.8038
12.3637	0078	2.0769	0.8033
12.5294	0079	2.0769	0.8029
12.6903	0080	2.0769	0.8030
12.8843	0081	2.0769	0.8027
13.0246	0082	2.0769	0.8024
13.1920	0083	2.0769	0.8023
13.3592	0084	-2.1321	0.8019
13.5230	0085	-2.1294	0.8024
13.6897	0086	-2.1294	0.8031
