dt(GPS)	frame	LO	AO
0.0000	0	1.5900	-3.0186
0.0000	3	1.5897	-3.0185
0.0000	6	1.5892	-3.0181
0.0000	8	1.5867	-3.0179
0.9997	9	1.5834	-3.0176
0.9997	11	1.5834	-3.0176
0.9997	12	1.5832	-3.0177
0.9997	14	1.5832	-3.0178
0.9997	16	1.5832	-3.0178
0.9997	18	1.5832	-3.0178
0.9997	20	1.5832	-3.0178
0.9997	21	1.5832	-3.0178
0.9997	22	1.5832	-3.0178
0.9997	23	1.5832	-3.0178
0.9997	24	1.5832	-3.0178
0.9997	25	1.5832	-3.0179
0.9997	26	1.5847	-3.0182
0.9997	27	1.5851	-3.0183
0.9997	28	1.5844	-3.0180
0.9997	29	1.5834	-3.0178
0.9997	30	1.5837	-3.0176
1.9998	31	1.5934	-3.0176
1.9998	32	1.5934	-3.0175
1.9998	33	1.5924	-3.0174
1.9998	34	1.5926	-3.0174
1.9998	35	1.5927	-3.0176
1.9998	36	1.5926	-3.0177
2.9996	37	1.5967	-3.0180
2.9996	38	1.5974	-3.0182
2.9996	39	1.5974	-3.0184
2.9996	40	1.5977	-3.0184
2.9996	41	1.5976	-3.0185
2.9996	42	1.5977	-3.0186
3.9997	43	1.5996	-3.0186
3.9997	44	1.5996	-3.0186
3.9997	45	1.5996	-3.0186
3.9997	46	1.5997	-3.0187
3.9997	47	1.5998	-3.0188
3.9997	48	1.5997	-3.0189
4.9998	49	1.5940	-3.0189
4.9998	50	1.5941	-3.0190
4.9998	51	1.5942	-3.0191
4.9998	52	1.5943	-3.0192
4.9998	53	1.5944	-3.0193
4.9998	54	1.5945	-3.0194
6.0002	55	1.5983	-3.0194
6.0002	56	1.5983	-3.0195
6.0002	57	1.5984	-3.0195
6.0002	58	1.5985	-3.0196
6.0002	59	1.5974	-3.0195
6.0002	60	1.5895	-3.0173
7.0004	61	1.5843	-3.0178
7.0004	62	1.5842	-3.0178
7.0004	63	1.5835	-3.0185
7.0004	64	1.5837	-3.0196
7.0004	65	1.5857	-3.0204
7.0004	66	1.5880	-3.0217
8.0000	67	1.4600	-3.0214
8.0000	68	1.4609	-3.0224
8.0000	69	1.4609	-3.0224
8.0000	70	1.4609	-3.0224
8.0000	71	1.4609	-3.0224
8.0000	72	1.4609	-3.0224
8.0000	73	1.4609	-3.0224
8.0000	74	1.4609	-3.0224
8.0000	75	1.4609	-3.0224
8.0000	76	1.4609	-3.0224
8.0000	77	1.4609	-3.0224
8.0000	78	1.4609	-3.0224
8.0000	79	1.4609	-3.0224
8.0000	80	1.4610	-3.0226
8.0000	81	1.4610	-3.0226
8.0000	82	1.4610	-3.0231
8.0000	83	1.4608	-3.0233
8.0000	84	1.4608	-3.0233
8.0000	85	1.4608	-3.0233
8.0000	86	1.4608	-3.0233
8.0000	87	1.4608	-3.0233
8.0000	88	1.4606	-3.0236
8.0000	89	1.4606	-3.0236
8.9999	90	1.3909	-3.0236
8.9999	91	1.3909	-3.0236
8.9999	92	1.3909	-3.0236
8.9999	93	1.3909	-3.0236
8.9999	94	1.3909	-3.0236
8.9999	95	1.3909	-3.0236
8.9999	96	1.3909	-3.0236
8.9999	97	1.3931	-3.0256
8.9999	98	1.3931	-3.0256
11.0002	99	1.3816	-3.0256
11.0002	100	1.3816	-3.0256
11.0002	101	1.3816	-3.0256
11.0002	102	1.3816	-3.0256
11.0002	103	1.3816	-3.0256
11.0002	104	1.3816	-3.0256
11.0002	105	1.3816	-3.0256
11.0002	106	1.3816	-3.0256
11.0002	107	1.3816	-3.0256
11.0002	108	1.3846	-3.0284
13.0000	109	1.3667	-3.0284
13.0000	110	1.3667	-3.0284
13.0000	111	1.3667	-3.0284
13.0000	112	1.3667	-3.0284
13.0000	113	1.3667	-3.0284
13.0000	114	1.3667	-3.0284
14.0000	115	1.3518	-3.0284
14.0000	116	1.3549	-3.0288
14.0000	117	1.3553	-3.0292
14.0000	118	1.3553	-3.0292
14.0000	119	1.3553	-3.0292
14.0000	120	1.3553	-3.0292
14.0000	121	1.3553	-3.0292
14.0000	122	1.3553	-3.0292
14.0000	123	1.3553	-3.0292
14.0000	124	1.3553	-3.0292
14.0000	125	1.3553	-3.0292
14.0000	126	1.3553	-3.0292
14.0000	127	1.3553	-3.0292
14.0000	128	1.3553	-3.0292
14.0000	129	1.3553	-3.0292
14.0000	130	1.3553	-3.0292
15.9997	131	1.3483	-3.0310
15.9997	132	1.3494	-3.0319
15.9997	133	1.3494	-3.0319
15.9997	134	1.3494	-3.0319
15.9997	135	1.3494	-3.0319
15.9997	136	1.3494	-3.0319
15.9997	137	1.3494	-3.0319
15.9997	138	1.3494	-3.0319
15.9997	139	1.3494	-3.0319
15.9997	140	1.3494	-3.0319
17.0001	141	1.3683	-3.0319
17.0001	142	1.3683	-3.0319
17.0001	143	1.3683	-3.0319
17.0001	144	1.3683	-3.0319
17.0001	145	1.3683	-3.0319
17.0001	146	1.3694	-3.0330
17.0001	147	1.3687	-3.0341
17.0001	148	1.3687	-3.0341
17.0001	149	1.3687	-3.0341
17.0001	150	1.3687	-3.0341
17.0001	151	1.3687	-3.0341
17.0001	153	1.3687	-3.0341
17.0001	154	1.3687	-3.0341
17.0001	155	1.3687	-3.0341
17.0001	156	1.3687	-3.0341
17.0001	157	1.3687	-3.0341
17.0001	158	1.3687	-3.0341
20.0004	159	1.3318	-3.0341
20.0004	160	1.3318	-3.0341
20.0004	161	1.3318	-3.0341
20.0004	162	1.3318	-3.0341
20.0004	163	1.3318	-3.0341
20.0004	164	1.3318	-3.0341
20.0004	165	1.3299	-3.0350
20.0004	166	1.3293	-3.0352
20.0004	167	1.3293	-3.0352
20.0004	168	1.3293	-3.0352
20.0004	169	1.3293	-3.0352
20.0004	170	1.3293	-3.0352
20.0004	171	1.3293	-3.0352
20.0004	172	1.3293	-3.0352
20.0004	173	1.3293	-3.0352
20.0004	174	1.3293	-3.0352
20.0004	175	1.3293	-3.0352
22.0002	176	1.3365	-3.0352
22.0002	177	1.3365	-3.0352
22.0002	178	1.3365	-3.0352
22.0002	179	1.3365	-3.0352
22.0002	180	1.3365	-3.0352
22.0002	181	1.3365	-3.0352
22.0002	182	1.3365	-3.0352
22.0002	183	1.3362	-3.0368
22.0002	184	1.3362	-3.0368
22.0002	185	1.3362	-3.0368
22.0002	186	1.3362	-3.0368
22.0002	187	1.3362	-3.0368
22.0002	188	1.3362	-3.0368
22.0002	189	1.3362	-3.0368
22.0002	190	1.3362	-3.0368
22.0002	191	1.3362	-3.0368
22.0002	192	1.3362	-3.0368
22.0002	193	1.3362	-3.0368
22.0002	194	1.3362	-3.0368
22.0002	195	1.3362	-3.0368
22.0002	196	1.3362	-3.0368
26.0005	197	1.3171	-3.0368
26.0005	198	1.3171	-3.0368
26.0005	199	1.3171	-3.0368
26.0005	200	1.3171	-3.0368
26.0005	201	1.3171	-3.0368
26.0005	202	1.3171	-3.0368
26.0005	203	1.3171	-3.0368
26.0005	204	1.3198	-3.0370
26.0005	205	1.3198	-3.0370
26.0005	206	1.3198	-3.0370
26.0005	207	1.3198	-3.0370
26.0005	208	1.3198	-3.0370
26.0005	209	1.3198	-3.0370
26.0005	210	1.3198	-3.0370
26.0005	211	1.3198	-3.0370
26.0005	212	1.3198	-3.0370
26.0005	213	1.3198	-3.0370
26.0005	214	1.3198	-3.0370
29.0006	215	1.3451	-3.0370
29.0006	216	1.3451	-3.0370
29.0006	217	1.3451	-3.0370
29.0006	218	1.3451	-3.0370
29.0006	219	1.3451	-3.0370
29.0006	220	1.3451	-3.0370
29.0006	221	1.3451	-3.0370
29.0006	222	1.3455	-3.0373
29.0006	223	1.3459	-3.0388
29.0006	224	1.3460	-3.0388
29.0006	225	1.3460	-3.0388
29.0006	226	1.3460	-3.0388
29.0006	227	1.3460	-3.0388
29.0006	228	1.3460	-3.0388
29.0006	229	1.3460	-3.0388
29.0006	230	1.3460	-3.0388
29.0006	231	1.3460	-3.0388
29.0006	232	1.3460	-3.0388
29.0006	233	1.3460	-3.0388
29.0006	234	1.3460	-3.0388
29.0006	235	1.3460	-3.0388
32.0005	236	1.3463	-3.0388
32.0005	237	1.3463	-3.0388
32.0005	238	1.3463	-3.0388
