dt(cam)	frame	LO	AO
0.0000	0000	-100.0000	0.0000
0.0006	0001	-100.0000	0.0000
0.0044	0002	-100.0000	0.0000
0.0143	0003	-100.0000	0.0000
0.0299	0004	-100.0000	0.0000
0.1902	0005	-100.0000	0.0000
0.3520	0006	-100.0000	0.0000
0.5596	0007	-100.0000	0.0000
0.6768	0008	-100.0000	0.0000
0.8446	0009	-100.0000	0.0000
1.0416	0010	-100.0000	0.0000
1.2232	0011	-100.0000	0.0000
1.3474	0012	-100.0000	0.0000
1.5058	0013	-100.0000	0.0000
1.6765	0014	-100.0000	0.0000
1.8390	0015	-100.0000	0.0000
2.0034	0016	-100.0000	0.0000
2.1710	0017	-100.0000	0.0000
2.3382	0018	-100.0000	0.0000
2.5420	0019	-100.0000	0.0000
2.6645	0020	-100.0000	0.0000
2.8340	0021	-100.0000	0.0000
2.9956	0022	-100.0000	0.0000
3.1846	0023	-100.0000	-2.3091
3.3274	0024	-100.0000	0.2525
3.5021	0025	-100.0000	0.1345
3.6583	0026	-100.0000	0.1345
3.8239	0027	-100.0000	0.1345
3.9936	0028	-100.0000	0.1345
4.1670	0029	-100.0000	0.1345
4.3219	0030	-100.0000	0.1345
4.4857	0031	-100.0000	0.1335
4.6513	0032	-100.0000	0.1078
4.8177	0033	-100.0000	0.1078
4.9947	0034	-100.0000	0.1078
5.1502	0035	-100.0000	0.1078
5.3150	0036	-100.0000	0.1078
5.4835	0037	-100.0000	0.1078
5.6450	0038	-100.0000	0.0529
5.8107	0039	-100.0000	0.0529
6.0202	0040	-100.0000	0.0529
6.1416	0041	-100.0000	0.0529
6.3104	0042	-100.0000	0.0529
6.4954	0043	-100.0000	-0.1132
6.6386	0044	-100.0000	-0.0444
6.8036	0045	-100.0000	-0.0444
6.9749	0046	-100.0000	-0.0444
7.1359	0047	-100.0000	-0.0444
7.3044	0048	-100.0000	-0.0444
7.4674	0049	-100.0000	-0.0444
7.6363	0050	-100.0000	-0.0795
7.8017	0051	-100.0000	-0.0795
8.0188	0052	-100.0000	-0.0795
8.1284	0053	-100.0000	-0.0795
8.3335	0054	-100.0000	-0.0795
8.4604	0055	-100.0000	-0.0795
8.6328	0056	-100.0000	-0.0656
8.8421	0057	-100.0000	-0.0806
8.9583	0058	-100.0000	-0.0806
9.1321	0059	-100.0000	-0.0806
9.2916	0060	-100.0000	-0.0806
9.4544	0061	-100.0000	-0.0806
9.6200	0062	-100.0000	-0.0664
9.7993	0063	-100.0000	-0.0501
9.9956	0064	-100.0000	-0.0501
10.1155	0065	-100.0000	-0.0501
10.3320	0066	-100.0000	-0.0501
10.4710	0067	-100.0000	-0.0501
10.6141	0068	-100.0000	-0.0267
10.8243	0069	-100.0000	-0.0632
10.9469	0070	-100.0000	-0.0632
11.1176	0071	-100.0000	-0.0632
11.2803	0072	-100.0000	-0.0632
11.4476	0073	-100.0000	-0.0632
11.6175	0074	-100.0000	-0.0577
11.7798	0075	-100.0000	0.0296
11.9464	0076	-100.0000	0.0296
12.1124	0077	-100.0000	0.0296
12.3102	0078	-100.0000	0.0296
12.4455	0079	-100.0000	0.0296
12.6124	0080	-100.0000	0.0053
12.7788	0081	-100.0000	0.0000
12.9450	0082	-100.0000	0.0000
13.1198	0083	-100.0000	0.0000
13.2776	0084	-100.0000	0.0000
13.4454	0085	-100.0000	0.0000
13.6107	0086	-100.0000	0.0000
13.7863	0087	-100.0000	-0.0077
13.9439	0088	-100.0000	-0.0077
14.1106	0089	-100.0000	-0.0832
14.2806	0090	-100.0000	-0.0832
14.4430	0091	-100.0000	-0.0832
14.6100	0092	-100.0000	-0.0896
14.7766	0093	-100.0000	-0.1357
14.9425	0094	-100.0000	-0.1357
15.1103	0095	-100.0000	-0.1357
15.2769	0096	-100.0000	-0.1357
15.4422	0097	-100.0000	-0.1357
15.6096	0098	-100.0000	-0.1535
15.7754	0099	-100.0000	-0.1804
15.9433	0100	-100.0000	-0.1804
16.1096	0101	-100.0000	-0.1804
16.2749	0102	-100.0000	-0.1804
16.4423	0103	-100.0000	-0.1804
16.6075	0104	-100.0000	-0.1752
16.7755	0105	-100.0000	-0.1996
16.9409	0106	-100.0000	-0.1996
17.1146	0107	-100.0000	-0.1996
17.2732	0108	-100.0000	-0.1996
17.4400	0109	-100.0000	-0.1996
17.6080	0110	-100.0000	-0.2024
17.7821	0111	-100.0000	-0.2024
17.9403	0112	-100.0000	-0.2024
18.1161	0113	-100.0000	-0.2024
18.2305	0114	-100.0000	-0.1751
18.4026	0115	-100.0000	-0.1751
18.5646	0116	-100.0000	-0.1632
18.7317	0117	-100.0000	-0.1757
18.9036	0118	-100.0000	-0.1757
19.0795	0119	-100.0000	-0.1757
19.2227	0120	-100.0000	-0.1757
19.3895	0121	-100.0000	-0.1757
19.5698	0122	-100.0000	-0.1718
19.7187	0123	-100.0000	-0.1599
19.8852	0124	-100.0000	-0.1599
20.0511	0125	-100.0000	-0.1599
20.2154	0126	-100.0000	-0.1599
20.3835	0127	-100.0000	-0.1599
20.5500	0128	-100.0000	-0.1334
20.7147	0129	-100.0000	-0.1275
20.8786	0130	-100.0000	-0.1275
21.0448	0131	-100.0000	-0.1275
21.2123	0132	-100.0000	-0.1275
21.3784	0133	-100.0000	-0.1275
21.5445	0134	-100.0000	-0.1210
21.7100	0135	-100.0000	-0.1005
21.8715	0136	-100.0000	-0.1005
22.0397	0137	-100.0000	-0.1005
22.2028	0138	-100.0000	-0.1005
22.3735	0139	-100.0000	-0.1005
22.5358	0140	-100.0000	-0.1069
22.7000	0141	-100.0000	-0.1045
22.8651	0142	-100.0000	-0.1045
23.0345	0143	-100.0000	-0.1045
23.1965	0144	-100.0000	-0.1045
23.3642	0145	-100.0000	-0.1045
23.5487	0146	-100.0000	-0.1037
23.6928	0147	-100.0000	-0.0920
23.8769	0148	-100.0000	-0.0920
24.0384	0149	-100.0000	-0.0920
24.1963	0150	-100.0000	-0.0920
24.3585	0151	-100.0000	-0.0920
24.5596	0152	-100.0000	-0.0894
24.7301	0153	-100.0000	-0.1018
24.8527	0154	-100.0000	-0.1018
25.0223	0155	-100.0000	-0.1018
25.1944	0156	-100.0000	-0.1018
25.3528	0157	-100.0000	-0.1018
25.5512	0158	-100.0000	-0.0995
25.6797	0159	-100.0000	-0.1003
25.8457	0160	-100.0000	-0.1003
26.0111	0161	-100.0000	-0.1003
26.1798	0162	-100.0000	-0.1003
26.3666	0163	-100.0000	-0.1003
26.5094	0164	-100.0000	-0.0836
26.6995	0165	-100.0000	-0.0717
26.8396	0166	-100.0000	-0.0717
27.0122	0167	-100.0000	-0.0717
27.1782	0168	-100.0000	-0.0717
27.3543	0169	-100.0000	-0.0717
27.5432	0170	-100.0000	-0.0286
27.6678	0171	-100.0000	-0.0120
27.8337	0172	-100.0000	-0.0120
28.0014	0173	-100.0000	-0.0120
28.2112	0174	-100.0000	-0.0120
28.3308	0175	-100.0000	-0.0120
