dt(cam)	frame	LO	AO
0.0000	0000	0.8455	0.5762
0.7652	0000	0.8455	0.5762
1.7674	0001	0.8455	0.5762
2.7734	0002	0.8455	0.5762
3.7733	0003	0.8455	0.5762
4.7721	0004	0.8455	0.5762
5.7709	0005	0.8455	0.5762
6.7800	0006	0.8455	0.5762
7.7800	0007	0.8455	0.5762
8.8008	0008	0.8455	0.5762
9.8122	0009	0.8455	0.5762
10.7743	0010	0.8455	0.5762
11.7600	0011	0.8455	0.5762
12.7607	0012	0.8455	0.5762
13.7602	0013	0.8455	0.5538
14.7784	0014	0.8874	0.5538
15.7606	0015	0.8874	0.5538
16.7600	0016	0.8874	0.5538
17.7607	0017	0.8874	0.5538
18.7605	0018	0.8874	0.5538
19.7610	0019	0.8874	0.5538
20.7613	0020	0.8874	0.5538
21.7605	0021	0.8874	0.5538
22.7607	0022	0.8874	0.5538
23.7606	0023	0.8874	0.5538
24.7607	0024	0.8874	0.5538
25.7604	0025	0.8874	0.5538
26.7603	0026	0.8874	0.5538
27.7607	0027	0.8874	0.5538
28.7605	0028	0.8874	0.5538
29.7588	0029	0.8874	0.5538
30.7613	0030	0.8874	0.5627
31.7622	0031	0.8874	0.5627
32.7609	0032	0.8874	0.5627
33.7648	0033	0.8874	0.5627
34.7612	0034	0.8874	0.5627
35.7672	0035	0.8874	0.5627
36.7603	0036	0.8874	0.5627
37.7604	0037	0.8874	0.5627
38.7622	0038	0.8874	0.5627
39.7619	0039	0.8874	0.5627
40.7612	0040	0.8874	0.5627
41.7615	0041	0.8874	0.5627
42.7616	0042	0.8874	0.5627
43.7598	0043	0.8874	0.5627
44.7607	0044	0.8874	0.5627
45.7632	0045	0.8874	0.5627
46.7614	0046	0.8874	0.5627
47.7614	0047	0.8874	0.5686
48.7606	0048	0.8874	0.5686
49.7610	0049	0.8874	0.5686
50.7608	0050	0.8874	0.5686
51.7600	0051	0.8874	0.5686
52.7605	0052	0.8874	0.5686
53.7599	0053	0.8874	0.5686
54.7604	0054	0.8874	0.5686
55.7603	0055	0.8874	0.5686
56.7606	0056	0.8874	0.5686
57.7705	0057	0.8874	0.5686
58.7609	0058	0.8874	0.5686
59.7604	0059	0.8874	0.5686
60.7600	0060	0.8874	0.5686
61.7620	0061	0.8874	0.5686
62.7606	0062	0.8874	0.5686
63.7617	0063	0.8874	0.5686
64.7607	0064	0.8874	0.5412
65.7614	0065	0.8874	0.5412
66.7601	0066	0.8874	0.5412
67.7606	0067	0.8874	0.5412
68.7604	0068	0.8874	0.5412
69.7606	0069	0.8874	0.5412
70.7605	0070	0.8874	0.5412
71.7608	0071	0.8874	0.5412
72.7623	0072	0.8874	0.5412
73.7649	0073	0.8874	0.5412
74.7613	0074	0.8874	0.5412
75.7618	0075	0.8874	0.5412
76.7607	0076	0.8874	0.5412
77.7622	0077	0.8874	0.5412
78.7627	0078	0.8874	0.5412
79.7707	0079	0.8874	0.5412
80.7608	0080	0.8874	0.5412
81.7604	0081	0.8874	0.5264
82.8049	0082	0.8874	0.5264
83.7623	0083	0.8874	0.5264
84.7606	0084	0.8874	0.5264
85.7603	0085	0.8874	0.5264
86.7610	0086	0.8874	0.5264
87.7606	0087	0.8874	0.5264
88.7609	0088	0.8874	0.5264
89.7656	0089	0.8874	0.5264
90.7601	0090	0.8874	0.5264
91.7651	0091	0.8874	0.5264
92.7605	0092	0.8874	0.5264
93.7607	0093	0.8874	0.5264
94.7614	0094	0.8874	0.5264
95.7617	0095	0.8874	0.5264
96.7620	0096	0.8874	0.5264
97.7608	0097	0.8874	0.5264
98.7605	0098	0.8874	0.5737
99.7614	0099	0.8874	0.5737
100.7603	0100	0.8874	0.5737
101.7603	0101	0.8874	0.5737
102.7610	0102	0.8874	0.5737
103.7627	0103	0.8874	0.5737
104.7608	0104	0.8874	0.5737
105.7604	0105	0.8874	0.5737
106.7622	0106	0.8874	0.5737
107.7610	0107	0.8874	0.5737
108.7611	0108	0.8874	0.5737
109.7596	0109	0.8874	0.5737
110.7604	0110	0.8874	0.5737
111.7604	0111	0.8874	0.5737
112.7607	0112	0.8874	0.5737
113.7608	0113	0.8874	0.5737
114.7607	0114	0.8874	0.5737
115.8350	0115	0.8874	0.5737
116.7605	0116	0.8874	0.5613
117.8268	0117	0.8874	0.5613
118.9365	0118	0.8874	0.5613
119.7607	0119	0.8874	0.5613
120.7613	0120	0.8874	0.5613
121.7600	0121	0.8874	0.5613
122.7607	0122	0.8874	0.5613
123.7614	0123	0.8874	0.5613
124.7600	0124	0.8874	0.5613
125.7598	0125	0.8874	0.5613
126.7609	0126	0.8874	0.5613
127.7604	0127	0.8874	0.5613
128.7607	0128	0.8874	0.5613
129.7613	0129	0.8874	0.5613
130.7620	0130	0.8874	0.5613
131.7611	0131	0.8874	0.5613
132.7619	0132	0.8874	0.5613
133.7621	0133	0.8874	0.5539
134.7609	0134	0.8874	0.5539
135.7606	0135	0.8874	0.5539
136.7608	0136	0.8874	0.5539
137.7608	0137	0.8874	0.5539
138.7604	0138	0.8874	0.5539
139.7719	0139	0.8874	0.5539
140.7610	0140	0.8874	0.5539
141.7655	0141	0.8874	0.5539
142.7607	0142	0.8874	0.5539
143.7605	0143	0.8874	0.5539
144.7608	0144	0.8874	0.5539
145.7613	0145	0.8874	0.5539
146.7615	0146	0.8874	0.5539
147.7605	0147	0.8874	0.5539
148.7649	0148	0.8874	0.5539
149.7641	0149	0.8874	0.5539
150.7621	0150	0.8874	0.6100
151.7602	0151	0.8874	0.6100
152.7609	0152	0.8874	0.6100
153.7602	0153	0.8874	0.6100
154.7621	0154	0.8874	0.6100
155.7632	0155	0.8874	0.6100
156.7605	0156	0.8874	0.6100
157.7615	0157	0.8874	0.6100
158.7618	0158	0.8874	0.6100
159.7608	0159	0.8874	0.6100
160.7610	0160	0.8874	0.6100
161.7663	0161	0.8874	0.6100
162.7614	0162	0.8874	0.6100
163.7610	0163	0.8874	0.6100
164.7700	0164	0.8874	0.6100
165.7611	0165	0.8874	0.6100
166.7607	0166	0.8874	0.6100
167.7632	0167	0.8874	0.6012
168.7611	0168	0.8874	0.6012
169.7614	0169	0.8874	0.6012
170.7639	0170	0.8874	0.6012
171.7605	0171	0.8874	0.6012
172.7600	0172	0.8874	0.6012
173.7598	0173	0.8874	0.6012
174.7625	0174	0.8874	0.6012
175.7605	0175	0.8874	0.6012
176.7658	0176	0.8874	0.6012
177.7607	0177	0.8874	0.6012
178.7604	0178	0.8874	0.6012
179.7632	0179	0.8874	0.6012
180.7619	0180	0.8874	0.6012
181.7613	0181	0.8874	0.6012
182.7616	0182	0.8874	0.6012
183.7621	0183	0.8874	0.6012
184.7679	0184	0.8874	0.6171
185.7596	0185	0.8874	0.6171
186.7609	0186	0.8874	0.6171
187.7601	0187	0.8874	0.6171
188.7614	0188	0.8874	0.6171
189.7606	0189	0.8874	0.6171
190.7626	0190	0.8874	0.6171
191.7621	0191	0.9027	0.6171
192.7621	0192	0.9027	0.6171
193.7612	0193	0.9027	0.6171
194.7612	0194	0.9027	0.6171
195.7614	0195	0.9027	0.6171
196.7611	0196	0.9027	0.6171
197.7599	0197	0.9027	0.6171
198.7608	0198	0.9027	0.6171
199.7610	0199	0.9027	0.6171
200.7659	0200	0.9027	0.6171
201.7907	0201	0.9027	0.6171
