dt(cam)	frame	LO	AO
0.0000	0000	-3.9727	0.0441
0.0011	0001	-3.9727	0.0439
0.0082	0002	-3.9727	0.0440
0.0154	0003	-3.9727	0.0440
0.0389	0004	-3.9727	0.0440
0.0414	0005	-3.9727	0.0440
0.0496	0006	-3.9727	0.0441
0.0510	0007	-3.9727	0.0441
0.0521	0008	-3.9727	0.0441
0.0556	0009	-3.9727	0.0441
0.0563	0010	-3.9727	0.0441
0.0647	0011	-3.9727	0.0441
0.0690	0012	-3.9727	0.0441
0.0698	0013	-3.9722	0.0441
0.0701	0014	-3.9722	0.0441
0.0780	0015	-3.9722	0.0441
0.0889	0016	-3.9722	0.0441
0.1133	0017	-3.9722	0.0439
0.1296	0018	-3.9722	0.0437
0.1304	0019	-3.9722	0.0437
0.1315	0020	-3.9722	0.0437
0.1491	0021	-3.9722	0.0436
0.1558	0022	-3.9722	0.0436
0.1655	0023	-3.9722	0.0436
0.1662	0024	-3.9722	0.0436
0.1738	0025	-3.9722	0.0436
0.1743	0026	-3.9722	0.0436
0.3035	0027	-3.9722	0.0436
0.4730	0028	-3.9722	0.0433
0.6377	0029	-3.9732	0.0429
0.8004	0030	-3.9732	0.0428
0.9555	0031	-3.9732	0.0422
1.1178	0032	-3.9732	0.0420
1.2872	0033	-3.9732	0.0416
1.4579	0034	-3.9732	0.0413
1.6159	0035	-3.9732	0.0414
1.7786	0036	-3.9746	0.0407
1.9450	0037	-3.9746	0.0400
2.1115	0038	-3.9746	0.0393
2.2749	0039	-3.9746	0.0388
2.4422	0040	-3.9746	0.0386
2.6400	0041	-3.9742	0.0380
2.8195	0042	-3.9742	0.0375
2.9367	0043	-3.9742	0.0370
3.1029	0044	-3.9742	0.0368
3.2933	0045	-3.9742	0.0364
3.4382	0046	-3.9742	0.0358
3.6496	0047	-3.9782	0.0356
3.7651	0048	-3.9782	0.0354
3.9326	0049	-3.9782	0.0349
4.0991	0050	-3.9782	0.0345
4.2629	0051	-3.9782	0.0343
4.4293	0052	-3.9782	0.0338
4.5927	0053	-3.9782	0.0337
4.7590	0054	-3.9762	0.0334
4.9270	0055	-3.9762	0.0330
5.0904	0056	-3.9762	0.0326
5.2578	0057	-3.9762	0.0319
5.4314	0058	-3.9762	0.0330
5.5872	0059	-3.9762	0.0323
5.7863	0060	-3.7497	0.0319
5.9184	0061	-3.7497	0.0307
6.0843	0062	-3.7497	0.0289
6.2537	0063	-3.7497	0.0266
6.4563	0064	-3.7497	0.0243
6.5831	0065	-3.7497	0.0233
6.7460	0066	-3.4697	0.0196
6.9112	0067	-3.4697	0.0185
7.0773	0068	-3.4697	0.0173
7.2515	0069	-3.4697	0.0179
7.4547	0070	-3.4697	0.0180
7.5764	0071	-3.4697	0.0178
7.7452	0072	-3.2253	0.0172
7.9093	0073	-3.2253	0.0161
8.0766	0074	-3.2253	0.0158
8.2691	0075	-3.2253	0.0151
8.4492	0076	-3.2253	0.0140
8.5778	0077	-3.2253	0.0138
8.7459	0078	-3.0013	0.0169
8.9090	0079	-3.0013	0.0190
9.0769	0080	-3.0013	0.0206
9.2474	0081	-3.0013	0.0208
9.4113	0082	-3.0013	0.0202
9.5960	0083	-3.0013	0.0195
9.7427	0084	-2.7795	0.0187
9.9098	0085	-2.7795	0.0178
10.0761	0086	-2.7795	0.0172
10.2472	0087	-2.7795	0.0179
10.4097	0088	-2.7795	0.0175
10.5758	0089	-2.7795	0.0161
10.7488	0090	-2.5498	0.0178
10.9252	0091	-2.5498	0.0170
11.0777	0092	-2.5498	0.0168
11.2469	0093	-2.5498	0.0158
11.4095	0094	-2.5498	0.0156
11.5795	0095	-2.5498	0.0150
11.7425	0096	-2.3365	0.0176
11.9098	0097	-2.3365	0.0233
12.0770	0098	-2.3365	0.0249
12.2455	0099	-2.3365	0.0241
12.4309	0100	-2.3365	0.0252
12.5768	0101	-2.3365	0.0259
12.7470	0102	-2.3365	0.0310
12.9093	0103	-2.3365	0.0329
13.0770	0104	-2.3365	0.0329
13.2446	0105	-2.3365	0.0329
13.4333	0106	-2.3365	0.0329
13.5919	0107	-2.3365	0.0329
13.7449	0108	-2.3365	0.0329
13.9091	0109	-2.3365	0.0329
14.0838	0110	-2.1210	0.0329
14.2643	0111	-2.1210	0.0329
14.4324	0112	-2.1210	0.0330
14.5763	0113	-2.1210	0.0330
14.7434	0114	-2.1210	0.0330
14.9188	0115	-2.1210	0.0330
15.0776	0116	-2.1210	0.0330
15.2467	0117	-2.1210	0.0330
15.4126	0118	-2.1210	0.0330
15.5809	0119	-2.1210	0.0330
15.7588	0120	-1.9121	0.0336
15.9091	0121	-1.7113	0.0336
16.0760	0122	-1.7113	0.0336
16.2487	0123	-1.7113	0.0336
16.4107	0124	-1.7113	0.0336
16.5771	0125	-1.7113	0.0336
16.7436	0126	-1.7113	0.0336
16.9106	0127	-1.7113	0.0336
17.0766	0128	-1.7113	0.0336
17.2444	0129	-1.7113	0.0336
17.4093	0130	-1.7113	0.0336
17.5961	0131	-1.7113	0.0336
17.7442	0132	-1.5109	0.0337
17.9131	0133	-1.5109	0.0337
18.0778	0134	-1.5109	0.0337
18.2664	0135	-1.5109	0.0337
18.4090	0136	-1.5109	0.0337
18.5803	0137	-1.5109	0.0337
18.7429	0138	-1.5109	0.0337
18.9093	0139	-1.5109	0.0337
19.0759	0140	-1.5109	0.0337
19.1634	0141	-1.5109	0.0337
19.3579	0142	-1.5109	0.0337
19.5002	0143	-1.5109	0.0337
19.6630	0144	-1.3036	0.0339
19.8369	0145	-0.9058	0.0339
20.0412	0146	-0.9058	0.0339
20.1576	0147	-0.9058	0.0339
20.3584	0148	-0.9058	0.0339
20.4891	0149	-0.9058	0.0339
20.6563	0150	-0.9058	0.0339
20.8358	0151	-0.9058	0.0339
21.0307	0152	-0.9058	0.0339
21.1501	0153	-0.9058	0.0339
21.3170	0154	-0.9058	0.0339
21.4817	0155	-0.9058	0.0339
21.6515	0156	-0.9058	0.0339
21.8676	0157	-0.7029	0.0339
21.9792	0158	-0.7029	0.0339
