dt(GPS)	frame	 LO(m)	 AO(rad)
0.0000	0	3.1355	-0.0764
0.9998	50	3.1358	-0.0763
7.9997	95	1.5793	-0.1272
11.9997	120	0.3357	-0.1253
22.9999	185	0.0134	-0.1078
30.9999	235	0.0170	-0.0973
38.0000	275	0.0386	-0.1008
40.9998	290	0.0272	-0.0861
44.0001	310	0.0641	-0.1104
60.0000	405	0.0540	-0.1155
68.0003	455	0.0465	-0.0875
74.0000	500	0.0334	-0.0644
92.9987	610	0.0730	-0.1025
99.9990	650	0.0477	-0.0993
121.9993	780	0.0397	-0.0801
150.9996	960	0.0694	-0.1139
178.9990	1125	0.0029	-0.0867
192.9987	1215	0.0820	-0.0748
205.9992	1290	0.0047	-0.0767
215.9986	1350	0.0817	-0.0577
223.9991	1400	0.0718	-0.0153
230.9987	1440	0.0905	-0.0039
237.9989	1480	0.3296	-0.0517
326.9993	2020	0.0694	-0.0213
331.9997	2050	0.0214	-0.0378
336.9996	2080	0.0212	-0.0219
339.9999	2100	0.0083	-0.0428
344.9997	2130	0.0450	-0.0236
347.9978	2150	0.0611	-0.0382
352.9996	2175	0.0421	-0.0261
